Date	index	open	high	low	close	weighted_price	high_low_spread	midquote_price	effective_spread	7_trailing	7_next_trailing	volume_btc	volume_currency
2016-08-01	244	627.0	630.53	602.16	605.12	619.52	28.37	14.18	1181.86	-49.71625	-12.9825	22093.3639417	13694592.87
2016-08-02	245	605.51	613.03	477.32	539.5	559.96	135.71	67.86	943.28	-112.8125	45.545	60145.21566906001	33601700.37
2016-08-03	246	540.01	572.66	520.29	568.35	549.33	52.37	26.19	1084.33	-87.46225	24.11	54008.40554322	29735757.47
2016-08-04	247	567.93	590.08	560.25	581.88	576.31	29.83	14.91	1133.92	-73.66175	5.27675	25854.961367509997	14899850.65
2016-08-05	248	582.53	585.04	566.8	576.79	573.88	18.24	9.12	1135.34	-79.5325	10.43	16249.534918209998	9326683.5
2016-08-06	249	576.87	593.21	568.68	590.64	578.57	24.54	12.27	1156.74	-64.598	-5.317	30670.324635420002	17643293.95
2016-08-07	250	590.94	601.1	581.11	594.38	592.64	19.99	10.0	1168.77	-32.7125	-22.605	19624.792922710003	11633235.69
2016-08-08	251	594.33	595.43	586.64	592.13	591.38	8.79	4.4	1175.47	-12.9825	-25.14275	11355.04441783	6718615.02
2016-08-09	252	592.18	592.84	583.08	585.04	587.45	9.76	4.88	1160.32	45.545	-7.3425	12781.233271340001	7511144.83
2016-08-10	253	585.09	602.46	582.22	592.46	592.48	20.24	10.12	1164.68	24.11	-19.335	21716.10887448	12860946.26
2016-08-11	254	592.12	598.74	586.57	587.15	592.65	12.18	6.09	1162.13	5.27675	-13.3375	15029.557333980001	8910066.65
2016-08-12	255	587.5	590.96	581.94	587.22	586.88	9.02	4.51	1165.42	10.43	-13.785	10033.90661347	5889319.91
2016-08-13	256	586.52	590.11	583.22	585.32	586.78	6.89	3.45	1163.75	-5.317	-4.5225	6192.46456565	3635386.69
2016-08-14	257	585.02	585.38	562.33	571.78	574.82	23.05	11.52	1120.5	-22.605	8.4775	16075.576081129999	9258356.72
2016-08-15	258	571.82	575.42	559.43	566.99	568.17	15.98	7.99	1118.0	-25.14275	17.5325	12551.28254654	7125634.93
2016-08-16	259	566.9	582.63	565.22	577.7	574.13	17.41	8.7	1137.99	-7.3425	4.245	14581.54733112	8357338.68
2016-08-17	260	577.63	580.13	568.81	573.13	574.28	11.32	5.66	1134.94	-19.335	6.13725	18804.21323392	10807884.43
2016-08-18	261	573.23	577.52	571.1	573.82	574.02	6.41	3.21	1141.22	-13.3375	2.285	24340.38524982	13968931.05
2016-08-19	262	573.07	576.91	567.54	573.43	573.81	9.37	4.68	1137.5	-13.785	5.49	14280.83891025	8190171.19
